fitVertices
foundClusters 23 ntrks  452
chi2Max 50
# i iv zt ezt2
379 18 1.2452568 0.00067238347
380 9997 1.5177845 0.0027445047
381 5 -1.5665374 0.006086472
382 18 1.2949907 0.00024410876
383 9 -4.0554762 0.010722212
384 9997 3.3820913 0.0019502478
385 9997 2.0960829 0.00064584787
386 5 -1.5558224 0.0045802789
387 18 1.2741115 0.0019056352
388 11 2.2476361 0.0010188791
389 1 7.2880735 0.00067205966
390 9997 -4.2794218 0.00055695948
391 19 5.5956068 0.010071425
392 5 -1.6265227 0.00068834278
393 9997 4.1058683 0.002397483
394 13 -7.2825608 0.00055404537
395 9997 4.5617371 0.0034633591
396 11 2.2235045 0.0044854297
397 9997 4.5264802 0.0023435461
398 4 4.737381 0.00010317318
399 9997 4.6089029 0.00059121294
400 14 4.6463947 0.00014830194
401 14 4.6452541 0.000173636
402 9997 4.5424414 0.00044707317
403 4 4.7197471 0.00076896214
404 0 1.2049966 0.0051444364
405 16 -3.9455943 0.0010262888
406 1 7.2001448 0.013135222
407 9997 -8.5692387 0.0019019946
408 9997 4.570683 0.0004697839
409 14 4.658823 0.0012074887
410 9997 0.99887496 0.0026661933
411 14 4.6792169 0.00013857891
412 9997 -4.1145763 0.0021960237
413 9 -4.009706 0.0025366198
414 1 7.2477713 0.00081154087
415 14 4.6473436 0.0040535606
416 5 -1.5871311 0.00058175903
417 1 7.2174263 0.0055341483
418 9997 3.2967234 0.0069711804
419 9997 7.7268786 0.01279741
420 20 4.8009062 0.00065642426
421 15 0.6722759 0.0048847874
422 9997 4.6102371 0.0014105119
423 2 -1.7476263 0.0029973572
424 1 7.1609187 0.0055757193
425 18 1.3087652 0.003255462
426 9 -4.0365214 0.00076421455
427 13 -7.234983 0.0017463684
428 9997 -4.0793266 0.0022450399
429 9997 -8.9941692 0.0019725009
430 9997 -4.0873256 0.0015957672
431 3 -1.0537169 0.0046892711
432 9997 0.13362181 0.0040310933
433 16 -3.9626825 0.001496385
434 9997 4.5602446 0.0012310748
435 9997 4.5471978 0.0067048529
436 9997 4.5895805 0.00017827042
437 16 -3.8750892 0.0020530561
438 13 -7.3101153 0.0018992345
439 14 4.6735988 0.00037596485
440 19 5.5588541 0.0044809254
441 14 4.6291208 0.00011204067
442 0 1.2041337 0.0033455337
443 3 -1.1001449 0.00042339435
444 9997 4.5432529 0.0013417687
445 16 -3.9891865 0.0025422378
446 9997 -0.69786692 0.0052146758
447 0 1.1657736 0.0043798545
448 9997 -5.1375284 0.0027960395
449 11 2.1693592 0.0068791891
450 8 -1.200495 0.0026087137
451 9997 3.8213627 0.0076126773
# i zv wv chi2 nn
0 1.1532967 124184.12 9.8094921 13
1 7.2356749 178615.02 40.696926 23
2 -1.7625016 158782.58 27.170317 15
3 -1.1245731 47552.148 9.5884981 6
4 4.7356811 366830.59 0.35851449 2
5 -1.6398566 44857.812 113.92817 21
6 0.3418518 20022.842 5.4584093 2
7 -1.2914634 1.4168787e+08 0.0002414355 1
8 -1.2439876 64064.145 16.96344 7
9 -4.048687 135337.62 7.7877779 10
10 5.5208964 107058.41 0.61359179 3
11 2.2049069 145853.03 146.95343 37
12 3.525455 172561.09 0.37240517 2
13 -7.2687283 34832.383 5.6148605 6
14 4.6360831 658722.5 99.505814 51
15 0.62424648 191893.59 26.780289 14
16 -3.9679542 196867.61 138.38249 36
17 0.88101411 118428.45 4.9920158 5
18 1.2841611 605395.5 148.05299 68
19 5.5704288 671462.06 50.98069 36
20 4.7856846 244249.2 6.3685532 10
21 10.495667 310411.12 8.2947321 8
22 1.1076728 312623.69 0.12781292 2
